[I]18:41:08.568 ================================================================================
[I]18:41:08.578                                    SGFDebuger                                   
[I]18:41:08.579 --------------------------------------------------------------------------------
[I]18:41:08.579 Time:	18:41:08.567 
[I]18:41:08.579 Path:	F:\Project\gad\Recording\Snaker2\Server\Apps\/ServerLog/
[I]18:41:08.579 ================================================================================
[I]19:23:36.952 > NetManager::Send() index:1, cmd:2
[I]19:23:37.263 > NetManager::Send() index:2, cmd:4
[I]19:23:42.267 > NetManager::Send() index:3, cmd:4
[I]19:23:47.278 > NetManager::Send() index:4, cmd:4
[I]19:24:47.256 > OnlineManager::OnLoginReq() session:24, index:1, name:adfas
[I]19:24:47.258 > NetManager::Send() index:1, cmd:2
[I]19:24:50.122 > NetManager::Send() index:2, cmd:4
[I]19:24:55.126 > NetManager::Send() index:3, cmd:4
[I]19:25:00.137 > NetManager::Send() index:4, cmd:4
[I]19:25:05.143 > NetManager::Send() index:5, cmd:4
[I]19:25:10.147 > NetManager::Send() index:6, cmd:4
[I]19:25:15.150 > NetManager::Send() index:7, cmd:4
[I]19:25:20.163 > NetManager::Send() index:8, cmd:4
[I]19:25:36.872 > OnlineManager::OnLoginReq() session:25, index:1, name:adfsa
[I]19:25:36.873 > NetManager::Send() index:1, cmd:2
[I]19:26:12.402 > OnlineManager::OnLoginReq() session:26, index:1, name:aaa
[I]19:26:12.402 > NetManager::Send() index:1, cmd:2
[I]19:26:33.050 > OnlineManager::OnLoginReq() session:27, index:1, name:adfasd
[I]19:26:33.051 > NetManager::Send() index:1, cmd:2
[I]19:26:36.057 > NetManager::Send() index:2, cmd:4
[I]19:27:24.282 > OnlineManager::OnLoginReq() session:28, index:1, name:adfasd
[I]19:27:24.283 > NetManager::Send() index:1, cmd:2
[I]19:27:54.438 > NetManager::Send() index:2, cmd:4
[I]19:28:39.491 > OnlineManager::OnLoginReq() session:29, index:1, name:dfafda
[I]19:28:39.493 > NetManager::Send() index:1, cmd:2
[I]19:28:39.936 > NetManager::Send() index:2, cmd:4
[I]19:28:44.930 > NetManager::Send() index:3, cmd:4
[I]19:28:49.944 > NetManager::Send() index:4, cmd:4
[I]19:28:54.955 > NetManager::Send() index:5, cmd:4
[I]19:28:59.960 > NetManager::Send() index:6, cmd:4
[I]19:29:04.963 > NetManager::Send() index:7, cmd:4
[I]19:29:09.968 > NetManager::Send() index:8, cmd:4
[I]19:29:14.974 > NetManager::Send() index:9, cmd:4
[I]19:29:19.989 > NetManager::Send() index:10, cmd:4
[I]19:29:24.992 > NetManager::Send() index:11, cmd:4
[I]19:29:29.996 > NetManager::Send() index:12, cmd:4
[I]19:29:35.002 > NetManager::Send() index:13, cmd:4
[I]19:29:40.004 > NetManager::Send() index:14, cmd:4
[I]19:29:45.009 > NetManager::Send() index:15, cmd:4
[I]19:29:50.014 > NetManager::Send() index:16, cmd:4
[I]19:29:55.028 > NetManager::Send() index:17, cmd:4
